from\to,19,23,28,31,53,111,215,391,459,658,682
19,0.0,26.6,18.2,11.0,8.7,8.0,7.9,29.8,12.5,28.2,15.5
23,25.7,0.0,19.9,15.2,27.0,31.8,25.8,7.9,14.4,10.1,25.8
28,17.9,21.2,0.0,9.3,28.2,19.2,13.3,24.4,7.2,22.8,21.6
31,11.6,16.5,9.4,0.0,9.9,17.5,10.3,19.7,3.0,18.1,12.2
53,9.1,25.4,18.7,9.9,0.0,15.1,11.6,28.6,13.0,18.9,5.0
111,8.8,32.7,19.6,17.4,14.7,0.0,7.5,35.9,19.0,34.3,21.5
215,9.6,24.4,11.3,10.5,11.4,7.6,0.0,27.6,10.5,26.1,27.5
391,30.0,8.3,24.1,19.5,28.5,36.0,30.1,0.0,18.7,17.2,30.1
459,12.6,16.0,6.9,3.0,12.9,18.5,12.9,19.2,0.0,17.6,15.1
658,28.7,14.0,22.9,18.2,18.5,34.7,28.8,17.2,17.4,0.0,15.7
682,15.5,27.0,21.6,12.3,5.0,21.5,25.1,30.2,15.2,15.5,0.0
